Sales Date,Business Unit,Discount_amount,promos
2020-04-01,Surface Pro,306,1
2020-04-02,Surface Pro,306,1
2020-04-03,Surface Pro,306,1
2020-04-04,Surface Pro,306,1
2020-04-05,Surface Pro,306,1
2020-04-06,Surface Pro,306,1
2020-04-07,Surface Pro,306,1
2020-04-08,Surface Pro,306,1
2020-04-09,Surface Pro,306,1
2020-04-10,Surface Pro,306,1
2020-04-11,Surface Pro,306,1
2020-04-12,Surface Pro,306,1
2020-04-13,Surface Pro,306,1
2020-04-14,Surface Pro,306,1
2020-04-15,Surface Pro,306,1
2020-04-16,Surface Pro,306,1
2020-04-17,Surface Pro,306,1
2020-04-18,Surface Pro,306,1
2020-04-19,Surface Pro,306,1
2020-04-20,Surface Pro,306,1
2020-04-21,Surface Pro,306,1
2020-04-22,Surface Pro,306,1
2020-04-23,Surface Pro,306,1
2020-04-24,Surface Pro,306,1
2020-04-25,Surface Pro,306,1
2020-04-26,Surface Pro,306,1
2020-04-27,Surface Pro,306,1
2020-04-28,Surface Pro,306,1
2020-04-29,Surface Pro,306,1
2020-04-30,Surface Pro,306,1
2020-05-01,Surface Pro,306,1
2020-05-02,Surface Pro,306,1
2020-05-03,Surface Pro,306,1
2020-05-04,Surface Pro,306,1
2020-05-05,Surface Pro,306,1
2020-05-06,Surface Pro,306,1
2020-05-07,Surface Pro,306,1
2020-05-08,Surface Pro,306,1
2020-05-09,Surface Pro,306,1
2020-05-10,Surface Pro,306,1
2020-05-11,Surface Pro,306,1
2020-05-12,Surface Pro,306,1
2020-05-13,Surface Pro,306,1
2020-05-14,Surface Pro,306,1
2020-05-15,Surface Pro,306,1
2020-05-16,Surface Pro,306,1
2020-05-17,Surface Pro,306,1
2020-05-18,Surface Pro,306,1
2020-05-19,Surface Pro,306,1
2020-05-20,Surface Pro,306,1
2020-05-21,Surface Pro,306,1
2020-05-22,Surface Pro,306,1
2020-05-23,Surface Pro,306,1
2020-05-24,Surface Pro,306,1
2020-05-25,Surface Pro,306,1
2020-05-26,Surface Pro,306,1
2020-05-27,Surface Pro,306,1
2020-05-28,Surface Pro,306,1
2020-05-29,Surface Pro,306,1
2020-05-30,Surface Pro,306,1
2020-05-31,Surface Pro,306,1
2020-06-01,Surface Pro,306,1
2020-06-02,Surface Pro,306,1
2020-06-03,Surface Pro,306,1
2020-06-04,Surface Pro,306,1
2020-06-05,Surface Pro,306,1
2020-06-06,Surface Pro,306,1
